run_tag,dataset,source_dataset,method,epsilon,seed,classifier,metric_name,metric,metric_value,value,converged,n_iter,status,fallback_used,n_synth,notes
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,4,logistic_regression,f1_macro,f1_macro,0.6129032258064516,61.29032258064516,True,496,success,,800,
TSTR_TABSYN_STASY_20260301_122820,credit,german,tabsyn,,4,logistic_regression,roc_auc,roc_auc,0.8171428571428572,81.71428571428572,True,496,success,,800,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,0,logistic_regression,accuracy,accuracy,0.6666666666666666,66.66666666666666,True,106,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,0,logistic_regression,f1_macro,f1_macro,0.6591865357643759,65.91865357643759,True,106,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,0,logistic_regression,roc_auc,roc_auc,0.7111111111111111,71.11111111111111,True,106,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,1,logistic_regression,accuracy,accuracy,0.4444444444444444,44.44444444444444,True,105,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,1,logistic_regression,f1_macro,f1_macro,0.4444444444444444,44.44444444444444,True,105,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,1,logistic_regression,roc_auc,roc_auc,0.538888888888889,53.8888888888889,True,105,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,2,logistic_regression,accuracy,accuracy,0.5555555555555556,55.55555555555556,True,449,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,2,logistic_regression,f1_macro,f1_macro,0.5,50.0,True,449,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,2,logistic_regression,roc_auc,roc_auc,0.7444444444444445,74.44444444444444,True,449,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,3,logistic_regression,accuracy,accuracy,0.7777777777777778,77.77777777777779,True,142,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,3,logistic_regression,f1_macro,f1_macro,0.7774725274725275,77.74725274725274,True,142,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,3,logistic_regression,roc_auc,roc_auc,0.8222222222222222,82.22222222222221,True,142,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,4,logistic_regression,accuracy,accuracy,0.6666666666666666,66.66666666666666,True,80,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,4,logistic_regression,f1_macro,f1_macro,0.6666666666666666,66.66666666666666,True,80,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,stasy,,4,logistic_regression,roc_auc,roc_auc,0.7611111111111111,76.11111111111111,True,80,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,0,logistic_regression,accuracy,accuracy,0.8888888888888888,88.88888888888889,True,21,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,0,logistic_regression,f1_macro,f1_macro,0.8882758620689655,88.82758620689654,True,21,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,0,logistic_regression,roc_auc,roc_auc,0.9777777777777779,97.77777777777779,True,21,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,1,logistic_regression,accuracy,accuracy,0.8518518518518519,85.18518518518519,True,19,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,1,logistic_regression,f1_macro,f1_macro,0.8500000000000001,85.00000000000001,True,19,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,1,logistic_regression,roc_auc,roc_auc,0.9166666666666666,91.66666666666666,True,19,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,2,logistic_regression,accuracy,accuracy,0.6666666666666666,66.66666666666666,True,18,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,2,logistic_regression,f1_macro,f1_macro,0.6648275862068966,66.48275862068967,True,18,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,2,logistic_regression,roc_auc,roc_auc,0.8277777777777777,82.77777777777777,True,18,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,3,logistic_regression,accuracy,accuracy,0.9259259259259259,92.5925925925926,True,17,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,3,logistic_regression,f1_macro,f1_macro,0.9258241758241759,92.58241758241759,True,17,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,3,logistic_regression,roc_auc,roc_auc,0.9666666666666667,96.66666666666667,True,17,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,4,logistic_regression,accuracy,accuracy,0.8518518518518519,85.18518518518519,True,29,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,4,logistic_regression,f1_macro,f1_macro,0.8411764705882353,84.11764705882354,True,29,success,,216,
TSTR_TABSYN_STASY_20260301_122820,heart,heart,tabsyn,,4,logistic_regression,roc_auc,roc_auc,0.838888888888889,83.8888888888889,True,29,success,,216,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,0,logistic_regression,accuracy,accuracy,0.35064935064935066,35.064935064935064,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,0,logistic_regression,f1_macro,f1_macro,0.25961538461538464,25.961538461538463,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,0,logistic_regression,roc_auc,roc_auc,0.2777777777777778,27.77777777777778,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,1,logistic_regression,accuracy,accuracy,0.36363636363636365,36.36363636363637,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,1,logistic_regression,f1_macro,f1_macro,0.28174376546735197,28.174376546735196,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,1,logistic_regression,roc_auc,roc_auc,0.36592592592592593,36.592592592592595,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,2,logistic_regression,accuracy,accuracy,0.35064935064935066,35.064935064935064,True,22,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,2,logistic_regression,f1_macro,f1_macro,0.25961538461538464,25.961538461538463,True,22,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,2,logistic_regression,roc_auc,roc_auc,0.3407407407407408,34.074074074074076,True,22,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,3,logistic_regression,accuracy,accuracy,0.33766233766233766,33.76623376623377,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,3,logistic_regression,f1_macro,f1_macro,0.2524271844660194,25.24271844660194,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,3,logistic_regression,roc_auc,roc_auc,0.3037037037037037,30.37037037037037,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,4,logistic_regression,accuracy,accuracy,0.35064935064935066,35.064935064935064,True,19,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,4,logistic_regression,f1_macro,f1_macro,0.25961538461538464,25.961538461538463,True,19,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,stasy,,4,logistic_regression,roc_auc,roc_auc,0.2955555555555555,29.55555555555555,True,19,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,0,logistic_regression,accuracy,accuracy,0.8311688311688312,83.11688311688312,True,15,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,0,logistic_regression,f1_macro,f1_macro,0.8094422234913383,80.94422234913384,True,15,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,0,logistic_regression,roc_auc,roc_auc,0.8896296296296297,88.96296296296296,True,15,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,1,logistic_regression,accuracy,accuracy,0.7272727272727273,72.72727272727273,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,1,logistic_regression,f1_macro,f1_macro,0.6612193588937776,66.12193588937775,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,1,logistic_regression,roc_auc,roc_auc,0.7207407407407408,72.07407407407408,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,2,logistic_regression,accuracy,accuracy,0.7662337662337663,76.62337662337663,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,2,logistic_regression,f1_macro,f1_macro,0.7210144927536233,72.10144927536233,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,2,logistic_regression,roc_auc,roc_auc,0.7733333333333333,77.33333333333333,True,16,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,3,logistic_regression,accuracy,accuracy,0.8181818181818182,81.81818181818183,True,14,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,3,logistic_regression,f1_macro,f1_macro,0.78812893081761,78.812893081761,True,14,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,3,logistic_regression,roc_auc,roc_auc,0.8962962962962963,89.62962962962962,True,14,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,4,logistic_regression,accuracy,accuracy,0.5844155844155844,58.44155844155844,True,17,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,4,logistic_regression,f1_macro,f1_macro,0.5510204081632653,55.10204081632652,True,17,success,,614,
TSTR_TABSYN_STASY_20260301_122820,pima,pima,tabsyn,,4,logistic_regression,roc_auc,roc_auc,0.6725925925925926,67.25925925925927,True,17,success,,614,
