run_tag,dataset,method,epsilon,seed,domias_auc,dist_mia_auc,dcr_q,normdcr,status,error
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,3,,0.4758,5.741244720314234,35.05691818186038,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,3,,0.4794777777777778,5.741244720314234,35.05691818186038,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,3,,0.48581111111111114,5.741244720314234,35.05691818186038,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,3,,0.4838666666666666,5.73502031593001,35.018911016888566,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,3,,0.4812222222222222,5.7389209232087115,35.04272872139177,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,3,,0.47496666666666665,5.73509787288565,35.01938459151929,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,madifft,,4,,0.5063555555555556,1.7404694174436965,11.332858345580995,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,4,,0.5173777777777778,5.804478563381649,37.79516759644167,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,4,,0.5295777777777778,5.877400152894756,38.26998780069463,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps0.5,0.5,4,,0.513,5.841824817528766,38.03834326143495,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps1,1.0,4,,0.5148333333333334,5.855999545660199,38.130640307502325,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps2,2.0,4,,0.5257777777777779,5.812812023659767,37.849429925853435,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps5,5.0,4,,0.5197333333333333,5.816173427899991,37.87131730733506,skipped,Strong audits skipped.
POP6_SEEDED_20260321,adult_income,privbayes_eps10,10.0,4,,0.5220111111111111,5.815174874624794,37.86481534717138,skipped,Strong audits skipped.
POP6_SEEDED_20260321,pima,madifft,,0,,0.5261904761904763,0.5170609310791856,1.068889844516176,skipped,Strong audits skipped.
POP6_SEEDED_20260321,pima,privbayes_eps0.1,0.1,0,,0.5277489177489177,0.6211818155203827,1.2841328638426426,skipped,Strong audits skipped.
