run_tag,dataset,method,epsilon,seed,dcr_q,norm_dcr,mia_auc,alpha,q,status,fallback_used,notes
POP6_SEEDED_20260321,breast_cancer,privbayes_eps1,1.0,3,2.56496440512097,2.3860721146146666,0.44146198830409356,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps2,2.0,3,2.5540351165145254,2.375905084333721,0.43286549707602334,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps5,5.0,3,2.732850909869734,2.542249450487776,0.4326315789473684,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps10,10.0,3,2.540882844112242,2.363670111263432,0.4533333333333333,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,madifft,,4,7.144608500929776,6.646310989685422,0.4809941520467837,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.1,0.1,4,2.783731193542909,2.5895811116265675,0.46187134502923977,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.2,0.2,4,2.7290196629653343,2.538685412178106,0.45362573099415204,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps0.5,0.5,4,2.8090804772304603,2.613162420907727,0.4443859649122808,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps1,1.0,4,3.0482412328229804,2.835643017008854,0.437953216374269,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps2,2.0,4,2.5712284789592776,2.3918993034363254,0.454795321637427,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps5,5.0,4,3.1029538407172352,2.886539718637027,0.4406432748538011,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,breast_cancer,privbayes_eps10,10.0,4,2.7509375972785923,2.559074690006059,0.4883040935672515,0.5,0.01,success,,"Samples: real(398), syn(398)"
POP6_SEEDED_20260321,adult_income,madifft,,0,2.1460426321801194,13.253131082841493,0.5040666666666667,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.1,0.1,0,6.163235194117737,38.06176200658476,0.48802222222222225,0.5,0.01,success,,"Samples: real(500), syn(800)"
POP6_SEEDED_20260321,adult_income,privbayes_eps0.2,0.2,0,6.0682266258351145,37.47502575514154,0.4840222222222222,0.5,0.01,success,,"Samples: real(500), syn(800)"
