dataset,method,seed,fpr,tpr
breast_cancer,gaussian_copula,3,0.017544,0.036667
breast_cancer,gaussian_copula,3,0.035088,0.036667
breast_cancer,gaussian_copula,3,0.035088,0.08
breast_cancer,gaussian_copula,3,0.052632,0.08
breast_cancer,gaussian_copula,3,0.052632,0.193333
breast_cancer,gaussian_copula,3,0.070175,0.193333
breast_cancer,gaussian_copula,3,0.070175,0.22
breast_cancer,gaussian_copula,3,0.087719,0.22
breast_cancer,gaussian_copula,3,0.087719,0.246667
breast_cancer,gaussian_copula,3,0.105263,0.246667
breast_cancer,gaussian_copula,3,0.105263,0.25
breast_cancer,gaussian_copula,3,0.122807,0.25
breast_cancer,gaussian_copula,3,0.122807,0.273333
breast_cancer,gaussian_copula,3,0.157895,0.273333
breast_cancer,gaussian_copula,3,0.157895,0.276667
breast_cancer,gaussian_copula,3,0.175439,0.276667
breast_cancer,gaussian_copula,3,0.175439,0.296667
breast_cancer,gaussian_copula,3,0.192982,0.296667
breast_cancer,gaussian_copula,3,0.192982,0.33
breast_cancer,gaussian_copula,3,0.210526,0.33
breast_cancer,gaussian_copula,3,0.210526,0.35
breast_cancer,gaussian_copula,3,0.245614,0.35
breast_cancer,gaussian_copula,3,0.245614,0.363333
breast_cancer,gaussian_copula,3,0.263158,0.363333
breast_cancer,gaussian_copula,3,0.263158,0.38
breast_cancer,gaussian_copula,3,0.298246,0.38
breast_cancer,gaussian_copula,3,0.298246,0.383333
breast_cancer,gaussian_copula,3,0.315789,0.383333
breast_cancer,gaussian_copula,3,0.315789,0.403333
breast_cancer,gaussian_copula,3,0.333333,0.403333
breast_cancer,gaussian_copula,3,0.333333,0.433333
breast_cancer,gaussian_copula,3,0.350877,0.433333
breast_cancer,gaussian_copula,3,0.350877,0.446667
breast_cancer,gaussian_copula,3,0.368421,0.446667
breast_cancer,gaussian_copula,3,0.368421,0.453333
breast_cancer,gaussian_copula,3,0.385965,0.453333
breast_cancer,gaussian_copula,3,0.385965,0.463333
breast_cancer,gaussian_copula,3,0.403509,0.463333
breast_cancer,gaussian_copula,3,0.403509,0.466667
breast_cancer,gaussian_copula,3,0.421053,0.466667
breast_cancer,gaussian_copula,3,0.421053,0.493333
breast_cancer,gaussian_copula,3,0.45614,0.493333
breast_cancer,gaussian_copula,3,0.45614,0.5
breast_cancer,gaussian_copula,3,0.473684,0.5
breast_cancer,gaussian_copula,3,0.473684,0.513333
breast_cancer,gaussian_copula,3,0.491228,0.513333
breast_cancer,gaussian_copula,3,0.491228,0.52
breast_cancer,gaussian_copula,3,0.526316,0.52
breast_cancer,gaussian_copula,3,0.526316,0.526667
breast_cancer,gaussian_copula,3,0.561404,0.526667
breast_cancer,gaussian_copula,3,0.561404,0.543333
breast_cancer,gaussian_copula,3,0.578947,0.543333
breast_cancer,gaussian_copula,3,0.578947,0.566667
breast_cancer,gaussian_copula,3,0.614035,0.566667
breast_cancer,gaussian_copula,3,0.614035,0.58
breast_cancer,gaussian_copula,3,0.631579,0.58
breast_cancer,gaussian_copula,3,0.631579,0.6
breast_cancer,gaussian_copula,3,0.649123,0.6
breast_cancer,gaussian_copula,3,0.649123,0.666667
breast_cancer,gaussian_copula,3,0.666667,0.666667
breast_cancer,gaussian_copula,3,0.666667,0.676667
breast_cancer,gaussian_copula,3,0.701754,0.676667
breast_cancer,gaussian_copula,3,0.701754,0.686667
breast_cancer,gaussian_copula,3,0.719298,0.686667
breast_cancer,gaussian_copula,3,0.719298,0.693333
breast_cancer,gaussian_copula,3,0.736842,0.693333
breast_cancer,gaussian_copula,3,0.736842,0.766667
breast_cancer,gaussian_copula,3,0.77193,0.766667
breast_cancer,gaussian_copula,3,0.77193,0.843333
breast_cancer,gaussian_copula,3,0.807018,0.843333
breast_cancer,gaussian_copula,3,0.807018,0.846667
breast_cancer,gaussian_copula,3,0.824561,0.846667
breast_cancer,gaussian_copula,3,0.824561,0.85
breast_cancer,gaussian_copula,3,0.842105,0.85
breast_cancer,gaussian_copula,3,0.842105,0.87
breast_cancer,gaussian_copula,3,0.859649,0.87
breast_cancer,gaussian_copula,3,0.859649,0.88
breast_cancer,gaussian_copula,3,0.877193,0.88
breast_cancer,gaussian_copula,3,0.877193,0.89
breast_cancer,gaussian_copula,3,0.894737,0.89
breast_cancer,gaussian_copula,3,0.894737,0.906667
breast_cancer,gaussian_copula,3,0.912281,0.906667
breast_cancer,gaussian_copula,3,0.912281,0.946667
breast_cancer,gaussian_copula,3,0.929825,0.946667
breast_cancer,gaussian_copula,3,0.929825,0.966667
breast_cancer,gaussian_copula,3,0.947368,0.966667
breast_cancer,gaussian_copula,3,0.947368,0.97
breast_cancer,gaussian_copula,3,0.964912,0.97
breast_cancer,gaussian_copula,3,0.964912,0.973333
breast_cancer,gaussian_copula,3,0.982456,0.973333
breast_cancer,gaussian_copula,3,0.982456,0.996667
breast_cancer,gaussian_copula,3,1.0,0.996667
breast_cancer,gaussian_copula,3,1.0,1.0
breast_cancer,gaussian_copula,4,0.0,0.0
breast_cancer,gaussian_copula,4,0.0,0.003333
breast_cancer,gaussian_copula,4,0.0,0.03
breast_cancer,gaussian_copula,4,0.017544,0.03
breast_cancer,gaussian_copula,4,0.017544,0.056667
breast_cancer,gaussian_copula,4,0.035088,0.056667
breast_cancer,gaussian_copula,4,0.035088,0.06
breast_cancer,gaussian_copula,4,0.052632,0.06
breast_cancer,gaussian_copula,4,0.052632,0.083333
breast_cancer,gaussian_copula,4,0.070175,0.083333
breast_cancer,gaussian_copula,4,0.070175,0.136667
breast_cancer,gaussian_copula,4,0.087719,0.136667
breast_cancer,gaussian_copula,4,0.087719,0.183333
breast_cancer,gaussian_copula,4,0.105263,0.183333
breast_cancer,gaussian_copula,4,0.105263,0.186667
breast_cancer,gaussian_copula,4,0.122807,0.186667
breast_cancer,gaussian_copula,4,0.122807,0.213333
breast_cancer,gaussian_copula,4,0.140351,0.213333
breast_cancer,gaussian_copula,4,0.140351,0.236667
breast_cancer,gaussian_copula,4,0.157895,0.236667
breast_cancer,gaussian_copula,4,0.157895,0.243333
breast_cancer,gaussian_copula,4,0.175439,0.243333
breast_cancer,gaussian_copula,4,0.175439,0.246667
breast_cancer,gaussian_copula,4,0.192982,0.246667
breast_cancer,gaussian_copula,4,0.192982,0.25
breast_cancer,gaussian_copula,4,0.210526,0.25
breast_cancer,gaussian_copula,4,0.210526,0.26
breast_cancer,gaussian_copula,4,0.22807,0.26
breast_cancer,gaussian_copula,4,0.22807,0.27
breast_cancer,gaussian_copula,4,0.245614,0.27
breast_cancer,gaussian_copula,4,0.245614,0.293333
breast_cancer,gaussian_copula,4,0.263158,0.293333
breast_cancer,gaussian_copula,4,0.263158,0.313333
breast_cancer,gaussian_copula,4,0.280702,0.313333
breast_cancer,gaussian_copula,4,0.280702,0.336667
breast_cancer,gaussian_copula,4,0.298246,0.336667
breast_cancer,gaussian_copula,4,0.298246,0.36
breast_cancer,gaussian_copula,4,0.315789,0.36
breast_cancer,gaussian_copula,4,0.315789,0.403333
breast_cancer,gaussian_copula,4,0.333333,0.403333
breast_cancer,gaussian_copula,4,0.333333,0.426667
breast_cancer,gaussian_copula,4,0.350877,0.426667
breast_cancer,gaussian_copula,4,0.350877,0.476667
breast_cancer,gaussian_copula,4,0.368421,0.476667
breast_cancer,gaussian_copula,4,0.368421,0.48
breast_cancer,gaussian_copula,4,0.385965,0.48
breast_cancer,gaussian_copula,4,0.385965,0.49
breast_cancer,gaussian_copula,4,0.403509,0.49
breast_cancer,gaussian_copula,4,0.403509,0.5
breast_cancer,gaussian_copula,4,0.421053,0.5
breast_cancer,gaussian_copula,4,0.421053,0.51
breast_cancer,gaussian_copula,4,0.438596,0.51
breast_cancer,gaussian_copula,4,0.438596,0.523333
breast_cancer,gaussian_copula,4,0.45614,0.523333
breast_cancer,gaussian_copula,4,0.45614,0.62
breast_cancer,gaussian_copula,4,0.473684,0.62
breast_cancer,gaussian_copula,4,0.473684,0.626667
breast_cancer,gaussian_copula,4,0.491228,0.626667
breast_cancer,gaussian_copula,4,0.491228,0.653333
breast_cancer,gaussian_copula,4,0.508772,0.653333
breast_cancer,gaussian_copula,4,0.508772,0.66
breast_cancer,gaussian_copula,4,0.526316,0.66
breast_cancer,gaussian_copula,4,0.526316,0.663333
breast_cancer,gaussian_copula,4,0.561404,0.663333
breast_cancer,gaussian_copula,4,0.561404,0.673333
breast_cancer,gaussian_copula,4,0.578947,0.673333
breast_cancer,gaussian_copula,4,0.578947,0.68
breast_cancer,gaussian_copula,4,0.614035,0.68
breast_cancer,gaussian_copula,4,0.614035,0.683333
breast_cancer,gaussian_copula,4,0.631579,0.683333
breast_cancer,gaussian_copula,4,0.631579,0.686667
breast_cancer,gaussian_copula,4,0.666667,0.686667
breast_cancer,gaussian_copula,4,0.666667,0.716667
breast_cancer,gaussian_copula,4,0.684211,0.716667
breast_cancer,gaussian_copula,4,0.684211,0.766667
breast_cancer,gaussian_copula,4,0.701754,0.766667
breast_cancer,gaussian_copula,4,0.701754,0.77
breast_cancer,gaussian_copula,4,0.719298,0.77
breast_cancer,gaussian_copula,4,0.719298,0.793333
breast_cancer,gaussian_copula,4,0.807018,0.793333
breast_cancer,gaussian_copula,4,0.807018,0.803333
breast_cancer,gaussian_copula,4,0.824561,0.803333
breast_cancer,gaussian_copula,4,0.824561,0.816667
breast_cancer,gaussian_copula,4,0.842105,0.816667
breast_cancer,gaussian_copula,4,0.842105,0.863333
breast_cancer,gaussian_copula,4,0.859649,0.863333
breast_cancer,gaussian_copula,4,0.859649,0.916667
breast_cancer,gaussian_copula,4,0.877193,0.916667
breast_cancer,gaussian_copula,4,0.877193,0.933333
breast_cancer,gaussian_copula,4,0.894737,0.933333
breast_cancer,gaussian_copula,4,0.894737,0.936667
breast_cancer,gaussian_copula,4,0.912281,0.936667
breast_cancer,gaussian_copula,4,0.912281,0.956667
breast_cancer,gaussian_copula,4,0.929825,0.956667
breast_cancer,gaussian_copula,4,0.929825,0.973333
breast_cancer,gaussian_copula,4,0.947368,0.973333
breast_cancer,gaussian_copula,4,0.947368,0.986667
breast_cancer,gaussian_copula,4,0.964912,0.986667
breast_cancer,gaussian_copula,4,0.964912,0.996667
breast_cancer,gaussian_copula,4,1.0,0.996667
breast_cancer,gaussian_copula,4,1.0,1.0
breast_cancer,tvae,0,0.0,0.0
breast_cancer,tvae,0,0.017544,0.0
breast_cancer,tvae,0,0.017544,0.026667
breast_cancer,tvae,0,0.035088,0.026667
breast_cancer,tvae,0,0.035088,0.033333
breast_cancer,tvae,0,0.052632,0.033333
breast_cancer,tvae,0,0.052632,0.04
breast_cancer,tvae,0,0.070175,0.04
breast_cancer,tvae,0,0.070175,0.046667
breast_cancer,tvae,0,0.087719,0.046667
breast_cancer,tvae,0,0.087719,0.05
breast_cancer,tvae,0,0.105263,0.05
breast_cancer,tvae,0,0.105263,0.063333
