dataset,method,seed,dcr_q,norm_dcr,mia_auc
heart,TabSyn,1,0.7127567038521824,0.9887541946005661,0.4751371742112483
heart,TabSyn,2,0.365000225348763,0.5103675395970922,0.3962620027434843
heart,TabSyn,3,0.8071743241632485,0.959427033062608,0.4591906721536351
heart,TabSyn,4,0.8862858961988435,1.058746980711057,0.5180041152263375
heart,STaSy,0,3.1425352207106174,3.7685999289321157,0.503772290809328
heart,STaSy,1,3.5682879987852028,4.9500197013558065,0.47205075445816186
heart,STaSy,2,3.0146802981970584,4.215326072723685,0.5138888888888888
heart,STaSy,3,3.509548622727294,4.1715348490336925,0.5485253772290809
heart,STaSy,4,3.4680893404251525,4.142939805044054,0.5512688614540467
credit,TabSyn,0,0.33018458879849105,0.9920578944074814,0.5011666666666668
credit,TabSyn,1,0.29417281273463985,1.1651612842300187,0.5320333333333334
credit,TabSyn,2,0.3214639061669124,0.9092748909020958,0.5372
credit,TabSyn,3,0.29691041408754026,0.9478292434503451,0.4481
credit,TabSyn,4,0.27070943027232375,1.0670959538346285,0.5090333333333334
credit,STaSy,0,1.4981148963961795,4.50116922509155,0.5155333333333333
credit,STaSy,1,1.4972809797807514,5.930438686828015,0.5123333333333333
credit,STaSy,2,2.112463418244107,5.9751963044997165,0.5181333333333333
credit,STaSy,3,2.0999095337512292,6.703556258901594,0.5495333333333334
credit,STaSy,4,1.5196640308260707,5.990287581970176,0.4761666666666667
